Accession_ID,Lineage,province,merged_lineage,date
EPI_ISL_17488087,DY.4,Zhejiang,BA.5.2*,2023-02-02
EPI_ISL_17488392,BF.7.14,Zhejiang,BF.7.14*,2023-02-02
EPI_ISL_16873122,BA.5.2.49,Qinghai,BA.5.2*,2023-02-03
EPI_ISL_17494800,BF.7.14.4,Gansu,BF.7.14*,2023-02-03
EPI_ISL_17227546,BA.5.2.49,Anhui,BA.5.2*,2023-02-06
EPI_ISL_17488074,DZ.1,Zhejiang,BA.5.2*,2023-02-06
EPI_ISL_17031882,BF.7.14,Hebei,BF.7.14*,2023-02-10
EPI_ISL_16902578,BA.5.2.48,Hainan,BA.5.2*,2023-02-10
EPI_ISL_17197938,BF.7.14,Anhui,BF.7.14*,2023-02-13
EPI_ISL_16977235,BF.7.14.1,Fujian,BF.7.14*,2023-02-13
EPI_ISL_17031940,BA.5.2.48,Hebei,BA.5.2*,2023-02-16
EPI_ISL_17187464,BF.7.14,Hong Kong,BF.7.14*,2023-02-21
EPI_ISL_18070793,DY.4,Shandong,BA.5.2*,2023-02-24
EPI_ISL_17489042,DY.1.1,Fujian,BA.5.2*,2023-03-01
EPI_ISL_17280157,BN.1.2,Taiwan,BA.2.75*,2023-03-01
EPI_ISL_17186587,BF.7.14,Sichuan,BF.7.14*,2023-03-02
EPI_ISL_17495286,DY.2,Chongqing,BA.5.2*,2023-03-02
EPI_ISL_17186014,BA.5.2.48,Hainan,BA.5.2*,2023-03-03
EPI_ISL_17186013,BF.7.14,Hainan,BF.7.14*,2023-03-03
EPI_ISL_17088875,BA.5.2.48,Anhui,BA.5.2*,2023-03-03
EPI_ISL_17494079,BA.5.2.49,Guangdong,BA.5.2*,2023-03-03
EPI_ISL_17280318,BN.1.3,Taiwan,BA.2.75*,2023-03-05
EPI_ISL_17494906,BA.5.2.49,Henan,BA.5.2*,2023-03-05
EPI_ISL_17494447,BA.5.2.48,Shaanxi,BA.5.2*,2023-03-05
EPI_ISL_17261819,BA.5.2.48,Guangdong,BA.5.2*,2023-03-06
EPI_ISL_17261756,BN.1.3,Guangdong,BA.2.75*,2023-03-06
EPI_ISL_17261720,BF.7.14,Guangdong,BF.7.14*,2023-03-06
EPI_ISL_17227611,BA.5.2.48,Anhui,BA.5.2*,2023-03-06
EPI_ISL_17262911,BA.5.2.48,Jiangsu,BA.5.2*,2023-03-07
EPI_ISL_17295405,BN.1.3,Hong Kong,BA.2.75*,2023-03-09
EPI_ISL_17620373,BF.7.14,Beijing,BF.7.14*,2023-03-09
EPI_ISL_18070846,DY.2,Shandong,BA.5.2*,2023-03-10
EPI_ISL_17563544,BF.7.14.1,Henan,BF.7.14*,2023-03-10
EPI_ISL_17490366,DY.2,Hebei,BA.5.2*,2023-03-10
EPI_ISL_17494706,BA.5.2.50,Xinjiang,BA.5.2*,2023-03-10
EPI_ISL_17487938,BF.7.14.1,Zhejiang,BF.7.14*,2023-03-10
EPI_ISL_17487974,XBB.1.5,Zhejiang,XBB.1.5*,2023-03-10
EPI_ISL_17494159,DY.1,Shaanxi,BA.5.2*,2023-03-13
EPI_ISL_17490536,BF.7.14.1,Hebei,BF.7.14*,2023-03-14
EPI_ISL_18070871,BF.7.14,Shandong,BF.7.14*,2023-03-17
EPI_ISL_17261833,XBB.1.5,Guangdong,XBB.1.5*,2023-03-17
EPI_ISL_17493738,BF.7.14,Shaanxi,BF.7.14*,2023-03-19
EPI_ISL_17492958,BF.7.14,Jilin,BF.7.14*,2023-03-19
EPI_ISL_17492988,BA.5.2.48,Jilin,BA.5.2*,2023-03-19
EPI_ISL_17494357,BF.7.14,Xinjiang,BF.7.14*,2023-03-21
EPI_ISL_17785512,BF.7.14,Inner Mongolia,BF.7.14*,2023-03-22
EPI_ISL_18070889,DY.4,Shandong,BA.5.2*,2023-03-24
EPI_ISL_17490388,BF.7.14,Hebei,BF.7.14*,2023-03-27
EPI_ISL_17785586,DY.2,Inner Mongolia,BA.5.2*,2023-03-28
EPI_ISL_17495315,BN.1.3.5,Zhejiang,BA.2.75*,2023-03-29
EPI_ISL_17494819,BF.7.14.4,Gansu,BF.7.14*,2023-03-30
EPI_ISL_17765801,BF.7.14,Anhui,BF.7.14*,2023-04-01
EPI_ISL_17765790,XBB.1.16.1,Anhui,XBB.1.16*,2023-04-01
EPI_ISL_17765780,DY.2,Anhui,BA.5.2*,2023-04-01
EPI_ISL_17488803,DY.2,Tianjin,BA.5.2*,2023-04-01
EPI_ISL_17494733,BF.7.14,Zhejiang,BF.7.14*,2023-04-01
EPI_ISL_17516783,BA.5.2.49,Heilongjiang,BA.5.2*,2023-04-02
EPI_ISL_17501577,XBB.1.16.1,Zhejiang,XBB.1.16*,2023-04-02
EPI_ISL_17488802,BF.7.14,Tianjin,BF.7.14*,2023-04-02
EPI_ISL_17493036,BF.7.14,Qinghai,BF.7.14*,2023-04-02
EPI_ISL_17505662,DY.1,Qinghai,BA.5.2*,2023-04-03
EPI_ISL_17501451,DY.4,Hubei,BA.5.2*,2023-04-03
EPI_ISL_17501481,BF.7.14,Zhejiang,BF.7.14*,2023-04-03
EPI_ISL_17485558,BF.7.14.3,Fujian,BF.7.14*,2023-04-03
EPI_ISL_17485547,DY.4,Fujian,BA.5.2*,2023-04-03
EPI_ISL_17547578,DY.1.1,Yunnan,BA.5.2*,2023-04-05
EPI_ISL_17505710,DY.4,Yunnan,BA.5.2*,2023-04-05
EPI_ISL_17501483,BA.5.2.6,Zhejiang,BA.5.2*,2023-04-05
EPI_ISL_17563558,BF.7.14,Sichuan,BF.7.14*,2023-04-07
EPI_ISL_17536872,DY.2,Sichuan,BA.5.2*,2023-04-07
EPI_ISL_17516926,DY.4,Zhejiang,BA.5.2*,2023-04-08
EPI_ISL_17501538,XBB.1.9.1,Zhejiang,XBB.1.9*,2023-04-08
EPI_ISL_18214567,FB.1,Taiwan,Others,2023-04-10
EPI_ISL_17545635,DY.2,Shanxi,BA.5.2*,2023-04-11
EPI_ISL_17505685,BF.7.14.1,Shanxi,BF.7.14*,2023-04-11
EPI_ISL_17539455,CH.1.1.1,Hong Kong,BA.2.75*,2023-04-12
EPI_ISL_17618469,DY.4,Shanghai,BA.5.2*,2023-04-17
EPI_ISL_17794475,DY.2,Jiangxi,BA.5.2*,2023-04-18
EPI_ISL_17637487,DY.2,Jiangsu,BA.5.2*,2023-04-19
EPI_ISL_17637371,BF.7.14,Jiangsu,BF.7.14*,2023-04-19
EPI_ISL_17619042,BQ.1.1.13,Shanghai,Others,2023-04-23
EPI_ISL_17545743,BF.7.14.7,Henan,BF.7.14*,2023-04-23
EPI_ISL_17817005,DY.4,Henan,BA.5.2*,2023-04-25
EPI_ISL_17625571,BN.1.3.5,Shanghai,BA.2.75*,2023-04-26
EPI_ISL_18009907,BF.7.14,Beijing,BF.7.14*,2023-05-01
EPI_ISL_18009772,DY.2,Beijing,BA.5.2*,2023-05-01
EPI_ISL_17645787,DY.1,Shanghai,BA.5.2*,2023-05-01
