,EventTime,Origin,Destination
742,2023.038337,Shanxi,Heilongjiang
895,2023.038337,Jiangsu,Guizhou
188,2023.038347,Sichuan,Gansu
242,2023.038347,Tianjin,Zhejiang
279,2023.038347,Shanghai,Guizhou
525,2023.040407,Zhejiang,Hebei
38,2023.041077,Anhui,Shanxi
352,2023.041077,Shanghai,Liaoning
22,2023.041087,Taiwan,Zhejiang
418,2023.041087,Anhui,Shandong
1034,2023.041997,Taiwan,Liaoning
480,2023.043567,Hebei,Jilin
1287,2023.043707,Jiangsu,Heilongjiang
73,2023.043817,Anhui,Fujian
964,2023.044927,Yunnan,Jiangsu
1598,2023.044967,Shanghai,Henan
131,2023.046557,Sichuan,Gansu
520,2023.046557,Hunan,Hebei
45,2023.046717,Anhui,Gansu
521,2023.047367,Hunan,Shandong
898,2023.049287,Jiangsu,Hainan
58,2023.049297,Anhui,Sichuan
592,2023.049297,Yunnan,Fujian
656,2023.049297,Anhui,Jiangsu
897,2023.049297,Jiangsu,Heilongjiang
84,2023.049307,Sichuan,Jiangxi
117,2023.049307,Sichuan,Heilongjiang
239,2023.049307,Hunan,Guangxi
346,2023.049307,Shaanxi,Jiangxi
308,2023.052037,Hong Kong,Guangdong
248,2023.052047,Tianjin,Hebei
441,2023.052047,Zhejiang,Shandong
1159,2023.052487,Shanghai,Guangdong
1695,2023.052717,Taiwan,Yunnan
542,2023.053107,Shandong,Jiangsu
932,2023.054587,Taiwan,Hong Kong
558,2023.054777,Jilin,Heilongjiang
331,2023.054787,Beijing,Taiwan
628,2023.058797,Inner Mongolia,Shanghai
105,2023.060257,Shandong,Hainan
793,2023.060257,Jiangsu,Hainan
920,2023.060257,Jiangsu,Hainan
301,2023.060267,Liaoning,Anhui
835,2023.060267,Zhejiang,Hainan
792,2023.062997,Jiangsu,Guangdong
852,2023.063597,Shandong,Zhejiang
313,2023.063977,Shanghai,Heilongjiang
1874,2023.065597,Shanghai,Henan
296,2023.065747,Shanghai,Xinjiang
375,2023.065747,Anhui,Hebei
989,2023.066387,Taiwan,Shanghai
774,2023.068467,Jiangsu,Anhui
642,2023.068477,Shanghai,Henan
169,2023.069287,Guangxi,Shandong
1322,2023.070647,Guangdong,Jiangsu
903,2023.071217,Jiangsu,Hainan
392,2023.071227,Anhui,Guangdong
463,2023.073957,Zhejiang,Guangdong
704,2023.073957,Tianjin,Shaanxi
812,2023.073967,Jiangxi,Anhui
1334,2023.075257,Shanghai,Taiwan
857,2023.076067,Yunnan,Hebei
401,2023.076697,Hubei,Shandong
1302,2023.077737,Zhejiang,Guangdong
603,2023.081547,Yunnan,Fujian
280,2023.081747,Shanghai,Henan
320,2023.082177,Beijing,Henan
726,2023.082177,Shanghai,Chongqing
211,2023.082187,Tianjin,Jiangxi
426,2023.084917,Guangdong,Hebei
442,2023.084917,Zhejiang,Fujian
821,2023.084917,Jiangsu,Zhejiang
955,2023.084917,Hong Kong,Guangdong
397,2023.084927,Anhui,Fujian
23,2023.087657,Taiwan,Hong Kong
